PaymentID,ApplicationID,ApplicationDate,TuitionPay,AccommodationPay,LivingExpensePay,ServiceFee,PaymentMethod
71,157,12/20/2024 0:00,12500,1500,1500,500,Credit Card
72,140258,3/16/2025 0:00,110000,16000,1500,1000,Cash
73,162,10/24/2023 0:00,0,2250,2000,500,Credit Card
74,140263,3/10/2024 0:00,0,750,1500,500,Credit Card
75,166,7/9/2025 0:00,15000,6300,2000,500,Credit Card
76,140267,2/18/2025 0:00,0,0,0,500,Cash
77,140268,2/1/2025 0:00,0,0,1850,500,Credit Card
78,140269,1/27/2024 0:00,0,2500,1500,1000,Cash
79,171,6/2/2024 0:00,0,0,0,1000,Credit Card
80,140272,3/30/2025 0:00,0,0,0,1000,Credit Card
81,140273,5/6/2025 0:00,6000,4900,1000,1000,Bank Transfer
82,140276,12/29/2024 0:00,0,1950,2400,500,Bank Transfer
83,140281,5/18/2025 0:00,0,0,0,500,Bank Transfer
84,140282,8/22/2024 0:00,0,0,0,1000,Credit Card
85,140286,12/6/2024 0:00,0,1020,0,500,Bank Transfer
86,140289,9/13/2024 0:00,0,600,2450,1000,Bank Transfer
87,140291,2/11/2025 0:00,0,5400,1500,1000,Credit Card
88,193,5/20/2024 0:00,0,400,2000,1000,Bank Transfer
89,195,3/18/2024 0:00,10000,860,700,1000,Credit Card
90,140293,4/23/2025 0:00,0,4000,1000,1000,Credit Card
91,203,5/1/2025 0:00,0,0,0,500,Bank Transfer
92,140301,5/8/2025 0:00,0,0,1000,1000,Cash
93,140302,4/6/2025 0:00,0,0,0,1000,Bank Transfer
94,207,11/23/2023 0:00,0,4900,1000,1000,Cash
95,210,2/10/2025 0:00,0,400,0,1000,Cash
96,212,8/5/2025 0:00,0,1500,0,1000,Cash
97,214,7/18/2024 0:00,0,5400,1000,500,Credit Card
98,215,3/18/2025 0:00,0,400,0,1000,Credit Card
99,140311,4/22/2025 0:00,0,1020,0,500,Bank Transfer
100,217,4/23/2025 0:00,0,0,0,1000,Bank Transfer
101,140317,4/4/2024 0:00,0,0,0,1000,Bank Transfer
102,227,6/2/2025 0:00,0,1500,0,1000,Cash
103,229,1/16/2025 0:00,29000,6600,2000,500,Cash
104,140331,10/12/2024 0:00,0,5300,1500,1000,Credit Card
105,140333,9/17/2025 0:00,0,400,2000,500,Bank Transfer
106,240,3/6/2025 0:00,0,1020,0,500,Cash
107,140340,6/26/2024 0:00,0,600,0,1000,Credit Card
108,140347,5/10/2025 0:00,0,1000,1500,1000,Credit Card
109,256,9/16/2024 0:00,0,0,0,1000,Credit Card
110,262,4/1/2025 0:00,0,0,0,1000,Credit Card
111,263,12/23/2023 0:00,35700,1500,2200,1000,Cash
112,264,8/2/2025 0:00,0,800,1000,500,Bank Transfer
113,140357,1/6/2025 0:00,16000,900,1000,500,Credit Card
114,140358,11/5/2024 0:00,0,0,0,500,Bank Transfer
115,267,10/5/2024 0:00,15000,0,2500,500,Cash
116,268,7/25/2024 0:00,0,4000,1500,1000,Cash
117,140361,9/4/2025 0:00,0,0,0,500,Credit Card
118,140367,11/10/2023 0:00,0,0,1000,500,Cash
119,281,11/15/2024 0:00,0,1020,0,500,Bank Transfer
120,140371,1/18/2025 0:00,0,0,0,500,Credit Card
121,140372,4/1/2025 0:00,0,1500,0,500,Credit Card
122,286,7/30/2025 0:00,0,2250,2000,500,Bank Transfer
123,140378,6/24/2024 0:00,0,4900,1000,1000,Bank Transfer
124,140380,4/3/2025 0:00,0,5400,1000,1000,Bank Transfer
125,140381,8/13/2024 0:00,0,0,0,1000,Credit Card
126,140383,1/31/2025 0:00,0,1350,2000,1000,Cash
127,299,11/18/2024 0:00,13000,13000,1000,1000,Bank Transfer
128,300,10/14/2024 0:00,3000,1000,1500,1000,Credit Card
129,140390,1/23/2024 0:00,15500,6000,1000,1000,Cash
130,140391,5/27/2025 0:00,9000,1500,1500,1000,Credit Card
131,140394,7/3/2025 0:00,0,0,1000,500,Cash
132,140395,11/4/2024 0:00,0,3000,1000,1000,Credit Card
133,140397,9/9/2025 0:00,0,2250,2000,500,Credit Card
134,313,12/28/2023 0:00,0,0,0,1000,Cash
135,140401,6/13/2024 0:00,0,0,1000,1000,Cash
136,140402,4/15/2024 0:00,0,7500,1000,500,Credit Card
137,316,7/25/2025 0:00,12000,4900,1000,1000,Credit Card
138,140404,1/11/2025 0:00,0,1200,1000,500,Bank Transfer
139,317,1/6/2025 0:00,0,90,1500,1000,Cash
140,318,10/6/2024 0:00,0,0,0,500,Bank Transfer
141,140406,8/14/2024 0:00,0,0,0,1000,Cash
142,140408,4/11/2024 0:00,8200,1000,1500,1000,Credit Card
143,321,4/25/2025 0:00,0,2000,1850,1000,Cash
144,323,11/16/2024 0:00,0,0,0,1000,Credit Card
145,140411,9/13/2025 0:00,0,4000,2000,500,Cash
146,326,1/12/2025 0:00,0,900,1000,500,Cash
147,140414,7/31/2024 0:00,6000,4900,1000,500,Credit Card
148,140415,12/4/2024 0:00,0,600,2450,500,Cash
149,140421,4/12/2024 0:00,0,0,1500,500,Bank Transfer
150,140423,8/7/2025 0:00,0,0,0,500,Bank Transfer
151,140424,10/8/2024 0:00,13500,5400,1000,1000,Credit Card
152,140426,10/29/2024 0:00,19500,6000,1000,500,Credit Card
153,340,7/15/2025 0:00,11500,1500,1500,500,Bank Transfer
154,344,8/27/2025 0:00,20800,600,2450,500,Cash
155,345,10/1/2024 0:00,0,2250,2000,500,Cash
156,346,7/31/2025 0:00,0,0,0,500,Cash
157,140434,7/20/2024 0:00,15000,400,1000,500,Cash
158,348,9/19/2023 0:00,10800,250,1000,500,Credit Card
159,140438,5/16/2024 0:00,12000,0,1600,1000,Credit Card
160,351,5/4/2025 0:00,0,1020,0,500,Bank Transfer
161,353,9/30/2025 0:00,0,0,0,1000,Bank Transfer
162,355,7/16/2025 0:00,0,1000,1500,500,Cash
163,356,5/12/2025 0:00,13000,4900,1000,1000,Bank Transfer
164,358,2/25/2025 0:00,0,1,1,500,Credit Card
165,140447,5/27/2024 0:00,15000,1350,0,1000,Bank Transfer
166,361,4/16/2025 0:00,0,0,0,1000,Bank Transfer
167,362,6/24/2024 0:00,5000,5000,500,500,Bank Transfer
168,140452,1/8/2025 0:00,35700,1500,2200,1000,Credit Card
169,140454,3/23/2024 0:00,17475,1500,2200,1000,Credit Card
170,140456,10/23/2024 0:00,0,0,0,500,Bank Transfer
171,140460,5/11/2025 0:00,3000,1000,1500,500,Bank Transfer
172,140461,9/14/2025 0:00,0,3000,1000,500,Credit Card
173,377,11/16/2024 0:00,0,1020,0,1000,Credit Card
174,140463,6/18/2025 0:00,0,48,1500,1000,Cash
175,140464,3/18/2025 0:00,0,600,1500,1000,Credit Card
176,381,9/19/2025 0:00,0,1020,0,1000,Credit Card
177,383,5/5/2025 0:00,0,3000,1000,500,Credit Card
178,140470,9/20/2025 0:00,0,0,0,1000,Cash
179,387,4/1/2025 0:00,0,0,0,1000,Bank Transfer
180,140473,8/22/2025 0:00,0,0,0,500,Cash
181,392,7/11/2025 0:00,0,7500,1000,1000,Bank Transfer
182,140479,6/24/2025 0:00,0,900,1000,1000,Cash
183,397,3/8/2025 0:00,0,90,2000,1000,Cash
184,399,7/16/2025 0:00,0,5400,1500,500,Credit Card
185,401,9/9/2024 0:00,15000,400,1000,1000,Cash
186,405,10/27/2024 0:00,0,0,0,1000,Bank Transfer
187,140490,9/3/2024 0:00,0,5000,1000,500,Credit Card
188,140492,12/30/2024 0:00,0,400,1500,500,Credit Card
189,140498,6/17/2024 0:00,0,750,1500,1000,Cash
190,417,7/16/2024 0:00,0,1000,0,1000,Bank Transfer
191,419,10/22/2024 0:00,0,1020,0,500,Bank Transfer
192,140503,8/10/2025 0:00,0,1020,0,500,Bank Transfer
193,420,6/24/2025 0:00,0,3000,1000,1000,Credit Card
194,140504,1/23/2024 0:00,0,1,1,1000,Credit Card
195,422,6/26/2025 0:00,4800,1500,1000,500,Bank Transfer
196,140506,12/2/2024 0:00,0,0,0,1000,Credit Card
197,140510,7/22/2024 0:00,0,900,1000,500,Bank Transfer
198,428,8/1/2025 0:00,0,0,1000,500,Credit Card
199,140514,11/27/2023 0:00,0,1020,0,1000,Bank Transfer
200,434,8/31/2024 0:00,9000,350,1000,1000,Bank Transfer
201,140516,9/27/2025 0:00,0,0,0,500,Cash
202,140519,4/26/2024 0:00,0,0,0,1000,Cash
203,438,2/22/2025 0:00,0,0,1500,500,Cash
204,140526,1/26/2024 0:00,0,0,1500,500,Bank Transfer
205,451,12/22/2024 0:00,0,400,1000,500,Cash
206,459,7/23/2025 0:00,0,750,1000,500,Cash
207,140540,6/24/2025 0:00,2000,5000,2050,1000,Bank Transfer
208,140541,7/25/2025 0:00,0,60,1500,500,Credit Card
209,461,5/30/2025 0:00,11000,430,700,500,Credit Card
210,462,3/27/2025 0:00,0,0,0,500,Cash
211,465,11/6/2023 0:00,1600,1500,2200,1000,Credit Card
212,466,1/23/2025 0:00,13000,4900,1000,500,Credit Card
213,467,5/11/2024 0:00,0,400,1000,500,Credit Card
214,140548,8/5/2025 0:00,0,750,1500,1000,Cash
215,140550,1/28/2024 0:00,0,1000,1000,500,Cash
216,140551,4/25/2025 0:00,11500,1500,1500,500,Cash
217,140554,3/1/2025 0:00,0,0,0,1000,Bank Transfer
218,140556,12/26/2024 0:00,0,0,0,1000,Cash
219,479,10/27/2023 0:00,0,0,0,500,Bank Transfer
220,480,5/7/2024 0:00,0,2250,2000,1000,Cash
221,140561,3/26/2025 0:00,100000,20000,1500,500,Cash
222,485,4/30/2025 0:00,0,0,0,500,Credit Card
223,140566,1/30/2025 0:00,0,900,1000,500,Cash
224,499,8/23/2025 0:00,0,1500,1500,500,Bank Transfer
225,140577,7/26/2025 0:00,0,0,0,1000,Bank Transfer
226,503,5/17/2024 0:00,0,0,0,500,Bank Transfer
227,140579,2/21/2025 0:00,0,0,0,1000,Bank Transfer
228,507,1/5/2025 0:00,0,600,2000,1000,Cash
229,140589,12/31/2024 0:00,10000,1000,1500,500,Credit Card
230,514,8/11/2025 0:00,0,400,2000,500,Cash
231,517,3/13/2025 0:00,0,1500,1500,500,Credit Card
232,140596,4/29/2025 0:00,11000,860,1500,1000,Bank Transfer
233,521,12/6/2024 0:00,0,0,0,1000,Credit Card
234,140597,11/5/2024 0:00,0,1000,0,1000,Bank Transfer
235,140600,7/28/2025 0:00,0,600,2000,500,Credit Card
236,525,7/10/2025 0:00,0,1500,0,1000,Cash
237,140601,6/24/2024 0:00,0,0,0,500,Cash
238,140606,10/15/2024 0:00,0,250,1000,500,Credit Card
239,140608,9/15/2025 0:00,0,4900,1000,500,Bank Transfer
240,535,8/5/2025 0:00,0,800,1000,1000,Cash
241,537,3/16/2025 0:00,0,1100,1000,1000,Bank Transfer
242,538,6/17/2024 0:00,26000,400,1000,1000,Bank Transfer
243,540,4/13/2025 0:00,5500,6000,200,1000,Cash
244,541,4/4/2024 0:00,0,600,2450,500,Credit Card
245,140617,7/3/2024 0:00,0,4000,1500,1000,Credit Card
246,140618,8/6/2024 0:00,18000,9000,0,500,Bank Transfer
247,545,7/27/2024 0:00,7000,5500,1000,500,Cash
248,140623,1/27/2025 0:00,0,750,1500,500,Cash
249,554,7/3/2025 0:00,0,1800,1000,1000,Bank Transfer
250,563,5/27/2025 0:00,29000,6600,1500,1000,Credit Card
251,567,6/30/2025 0:00,0,0,1000,1000,Credit Card
252,140641,3/13/2025 0:00,0,15000,1500,500,Credit Card
253,140643,4/7/2024 0:00,0,1020,0,500,Bank Transfer
254,573,7/25/2025 0:00,0,0,0,1000,Cash
255,140647,8/3/2024 0:00,33600,600,2450,500,Bank Transfer
256,580,3/22/2024 0:00,54000,4000,1000,1000,Cash
257,140653,6/30/2024 0:00,0,4900,1000,1000,Cash
258,582,4/12/2023 0:00,13500,5400,1000,500,Credit Card
259,140655,7/20/2025 0:00,0,0,1500,1000,Credit Card
260,584,9/18/2024 0:00,0,0,1500,1000,Credit Card
261,140658,7/24/2025 0:00,0,0,0,1000,Cash
262,586,4/29/2025 0:00,26000,400,1000,1000,Credit Card
263,140660,2/8/2025 0:00,7000,400,1500,1000,Credit Card
264,588,6/23/2025 0:00,0,0,2000,1000,Bank Transfer
265,591,11/7/2024 0:00,0,0,0,500,Bank Transfer
266,140663,8/31/2024 0:00,0,250,1000,500,Credit Card
267,592,8/5/2024 0:00,0,0,0,500,Bank Transfer
268,140664,7/9/2025 0:00,12600,5000,1000,500,Cash
269,594,7/19/2025 0:00,0,1020,0,500,Credit Card
270,140668,10/26/2024 0:00,16000,1000,1500,500,Credit Card
271,140669,10/8/2024 0:00,6000,1500,1600,1000,Bank Transfer
272,599,9/22/2024 0:00,0,11200,2000,1000,Bank Transfer
273,140670,5/20/2024 0:00,10250,1500,1500,500,Credit Card
274,140672,12/19/2024 0:00,0,2250,2000,500,Cash
275,602,9/30/2023 0:00,0,1500,0,1000,Credit Card
276,606,5/14/2025 0:00,9000,900,1000,500,Credit Card
277,609,3/1/2025 0:00,13000,4900,1000,1000,Cash
278,140683,5/30/2025 0:00,110000,16000,1500,1000,Bank Transfer
279,140684,6/16/2025 0:00,0,1,1,1000,Cash
280,615,7/28/2025 0:00,18000,9000,1000,1000,Credit Card
281,619,7/21/2025 0:00,0,600,2450,1000,Cash
282,620,3/30/2025 0:00,0,750,1500,500,Cash
283,625,4/4/2024 0:00,0,1000,0,500,Cash
284,140695,2/27/2025 0:00,0,6600,1500,500,Cash
285,630,6/29/2024 0:00,0,4000,1000,1000,Bank Transfer
286,631,12/25/2024 0:00,1000,6600,2000,500,Credit Card
287,140703,9/9/2023 0:00,0,900,1500,1000,Bank Transfer
288,140705,7/26/2025 0:00,0,2000,2300,1000,Cash
289,140707,12/30/2024 0:00,0,1020,0,500,Bank Transfer
290,140708,6/23/2025 0:00,0,0,2000,500,Cash
291,642,5/3/2025 0:00,0,5000,1000,1000,Credit Card
292,643,9/19/2024 0:00,0,750,1500,1000,Bank Transfer
293,140711,7/24/2025 0:00,30000,400,1000,500,Credit Card
294,648,10/4/2024 0:00,0,900,1000,1000,Bank Transfer
295,140720,2/21/2025 0:00,0,0,0,1000,Cash
296,653,2/15/2025 0:00,0,0,0,1000,Credit Card
297,140721,7/16/2024 0:00,0,4500,1000,500,Bank Transfer
298,654,12/22/2023 0:00,0,600,1500,1000,Cash
299,140726,4/5/2024 0:00,0,4000,1500,500,Credit Card
300,659,7/16/2024 0:00,6000,4000,1000,500,Bank Transfer
301,140729,1/25/2025 0:00,0,1950,2400,500,Bank Transfer
302,140730,9/12/2024 0:00,0,600,2450,1000,Credit Card
303,140734,4/28/2025 0:00,9600,4500,1000,500,Credit Card
304,667,8/10/2024 0:00,0,1020,0,1000,Cash
305,670,12/29/2024 0:00,29000,6600,1500,1000,Bank Transfer
306,140738,1/4/2025 0:00,15500,6000,1000,1000,Cash
307,671,3/14/2025 0:00,0,1100,1000,1000,Cash
308,673,3/18/2025 0:00,93334,48,1500,500,Cash
309,140743,11/22/2024 0:00,12500,1500,1500,1000,Bank Transfer
310,140747,12/9/2022 0:00,0,4500,1000,500,Bank Transfer
311,140750,4/6/2024 0:00,0,2250,2000,1000,Bank Transfer
312,140751,12/20/2024 0:00,10250,1500,1500,500,Credit Card
313,685,2/27/2025 0:00,0,1500,0,1000,Bank Transfer
314,140754,8/23/2025 0:00,0,0,2000,500,Cash
315,687,6/14/2024 0:00,28200,1500,2200,500,Cash
316,140755,1/11/2025 0:00,0,1600,1000,500,Bank Transfer
317,692,3/5/2024 0:00,8000,0,1500,500,Cash
318,140761,5/10/2024 0:00,0,0,0,1000,Credit Card
319,696,12/28/2024 0:00,7600,14640,1000,800,Bank Transfer
320,140765,9/20/2025 0:00,0,1000,1000,1000,Bank Transfer
321,702,1/17/2024 0:00,0,1000,1000,500,Cash
322,140770,8/21/2025 0:00,0,660,2100,500,Cash
323,704,7/20/2024 0:00,0,250,1000,1000,Credit Card
324,708,8/30/2024 0:00,13000,4500,1000,500,Cash
325,140775,8/6/2024 0:00,0,0,0,1000,Cash
326,713,11/15/2024 0:00,0,0,1000,200,Credit Card
327,140780,12/18/2024 0:00,0,400,0,1000,Bank Transfer
328,717,9/25/2025 0:00,0,2250,2000,500,Bank Transfer
329,720,8/16/2025 0:00,6000,1400,1000,500,Bank Transfer
330,140788,11/16/2024 0:00,0,0,0,500,Cash
331,140790,11/26/2023 0:00,0,0,0,1000,Bank Transfer
332,727,7/3/2025 0:00,0,0,0,1000,Credit Card
333,140796,5/2/2025 0:00,0,0,0,1000,Cash
334,737,7/15/2025 0:00,0,0,0,500,Credit Card
335,739,4/15/2024 0:00,0,0,0,500,Bank Transfer
336,740,11/2/2023 0:00,33600,600,2450,500,Bank Transfer
337,742,5/9/2024 0:00,0,1,1,1000,Bank Transfer
338,140805,9/1/2025 0:00,0,0,1500,1000,Credit Card
339,140808,8/15/2025 0:00,0,4000,1000,500,Bank Transfer
340,748,2/18/2025 0:00,0,20000,1000,500,Bank Transfer
341,140814,3/25/2025 0:00,0,500,1000,500,Cash
342,754,7/2/2025 0:00,0,0,2000,1000,Cash
343,140817,12/26/2024 0:00,0,1,1,1000,Credit Card
344,760,6/4/2025 0:00,0,600,0,500,Bank Transfer
345,140822,4/7/2024 0:00,12500,1500,1500,500,Bank Transfer
346,762,2/14/2025 0:00,4000,5000,2050,500,Credit Card
347,766,3/25/2025 0:00,0,900,1000,1000,Cash
348,767,12/21/2023 0:00,0,3500,1000,500,Credit Card
349,140828,10/20/2023 0:00,0,0,1500,500,Bank Transfer
350,769,9/14/2025 0:00,30000,400,1000,500,Bank Transfer
351,140829,3/10/2025 0:00,0,4000,1000,1000,Cash
352,770,5/30/2024 0:00,13000,4900,1000,500,Bank Transfer
353,140831,4/27/2025 0:00,23900,4000,1500,1000,Bank Transfer
354,772,8/16/2025 0:00,0,1500,1000,1000,Bank Transfer
355,140833,3/23/2025 0:00,19800,250,1000,500,Credit Card
356,779,10/16/2023 0:00,0,4900,1000,500,Bank Transfer
357,140841,6/27/2025 0:00,0,0,2500,500,Credit Card
358,140842,12/31/2023 0:00,10250,1500,1500,500,Credit Card
359,140843,7/3/2025 0:00,0,400,0,500,Bank Transfer
360,140846,6/16/2025 0:00,0,1000,0,500,Credit Card
361,140848,4/9/2025 0:00,0,1000,0,1000,Cash
362,140849,7/13/2025 0:00,0,600,2100,500,Bank Transfer
363,791,1/28/2024 0:00,14000,4000,1000,1000,Credit Card
364,140850,4/15/2024 0:00,0,0,0,500,Cash
365,793,2/27/2025 0:00,10500,1000,0,1000,Cash
366,795,9/7/2024 0:00,0,1000,1000,500,Bank Transfer
367,140856,12/26/2024 0:00,6000,1800,1000,500,Bank Transfer
368,803,12/19/2024 0:00,0,1020,0,1000,Credit Card
369,140862,1/28/2025 0:00,15500,6000,1000,1000,Credit Card
370,140863,8/25/2025 0:00,15500,6000,1000,500,Bank Transfer
371,140865,8/28/2025 0:00,0,0,0,500,Bank Transfer
372,808,7/15/2025 0:00,0,1800,0,1000,Bank Transfer
373,140868,7/12/2025 0:00,0,0,1500,1000,Credit Card
374,140870,7/13/2024 0:00,26000,400,1000,500,Credit Card
375,820,4/18/2025 0:00,0,0,0,500,Credit Card
376,140878,7/3/2025 0:00,13000,4500,1000,500,Cash
377,821,5/28/2025 0:00,24500,1000,1500,500,Cash
378,822,7/6/2025 0:00,11000,400,1000,1000,Cash
379,140880,7/28/2025 0:00,8200,1000,1500,500,Credit Card
380,140881,3/18/2025 0:00,0,1,1,1000,Cash
381,140885,7/5/2025 0:00,0,2400,900,1000,Cash
382,140887,8/16/2024 0:00,0,2000,2300,1000,Credit Card
383,833,9/29/2023 0:00,0,600,2000,500,Cash
384,140891,7/10/2024 0:00,0,1100,1000,1000,Bank Transfer
385,837,3/7/2024 0:00,0,1500,0,1000,Bank Transfer
386,841,8/23/2025 0:00,19950,1200,900,500,Credit Card
387,140901,7/26/2024 0:00,9000,1000,0,1000,Cash
388,140904,12/1/2024 0:00,12000,900,1000,1000,Credit Card
389,850,4/6/2025 0:00,0,0,2000,500,Bank Transfer
390,851,4/20/2025 0:00,0,1200,1000,500,Bank Transfer
391,854,7/31/2025 0:00,24500,1000,1500,500,Bank Transfer
392,140914,2/7/2025 0:00,0,0,0,1000,Cash
393,857,12/1/2024 0:00,13000,4900,1000,500,Cash
394,140916,4/7/2025 0:00,0,750,1500,500,Credit Card
395,140917,7/31/2025 0:00,0,250,1500,1000,Bank Transfer
396,866,10/31/2024 0:00,13000,800,1000,1000,Cash
397,869,3/31/2025 0:00,13000,4500,1000,500,Cash
398,140926,9/27/2023 0:00,0,600,1500,500,Bank Transfer
399,140927,3/1/2025 0:00,11500,1000,1000,1000,Cash
400,140928,12/20/2024 0:00,0,1020,0,1000,Credit Card
401,874,3/16/2024 0:00,27200,600,2450,1000,Cash
402,140931,10/15/2024 0:00,0,1020,0,500,Bank Transfer
403,140932,1/7/2025 0:00,20800,600,2000,500,Credit Card
404,877,7/18/2025 0:00,0,4000,1000,500,Cash
405,140936,6/18/2025 0:00,0,0,0,500,Bank Transfer
406,885,6/28/2024 0:00,15000,1350,2000,1000,Bank Transfer
407,140941,3/8/2025 0:00,0,0,1000,500,Credit Card
408,886,7/4/2025 0:00,29000,6600,1500,500,Credit Card
409,140943,7/5/2024 0:00,12400,1500,1500,1000,Credit Card
410,140944,3/11/2024 0:00,0,2250,2000,500,Cash
411,140945,5/22/2025 0:00,0,1,1,500,Cash
412,891,5/20/2024 0:00,0,600,2000,500,Cash
413,892,3/25/2025 0:00,19950,1800,1500,1000,Credit Card
414,894,3/17/2024 0:00,0,0,0,500,Bank Transfer
415,140949,11/12/2024 0:00,50000,0,0,1000,Bank Transfer
416,895,9/11/2023 0:00,0,4000,1500,1000,Bank Transfer
417,140951,8/3/2024 0:00,0,5000,0,500,Credit Card
418,140953,10/18/2024 0:00,6000,1800,1000,500,Cash
419,140955,11/25/2024 0:00,13500,5400,1000,500,Bank Transfer
420,902,8/28/2025 0:00,0,400,0,500,Bank Transfer
421,140956,6/30/2025 0:00,15000,400,1000,1000,Cash
422,140957,11/29/2024 0:00,0,0,2000,500,Credit Card
423,908,10/13/2024 0:00,0,0,0,1000,Cash
424,910,4/23/2025 0:00,30000,400,1000,500,Credit Card
425,911,1/31/2024 0:00,0,2600,0,500,Cash
426,140964,7/29/2024 0:00,0,0,0,500,Credit Card
427,140968,2/21/2025 0:00,0,8000,1000,500,Cash
428,140969,4/5/2025 0:00,6000,1800,1000,500,Bank Transfer
429,140970,1/24/2025 0:00,0,0,0,500,Credit Card
430,140972,4/26/2024 0:00,8000,700,1500,500,Bank Transfer
431,140973,1/22/2025 0:00,0,1020,0,1000,Credit Card
432,140974,8/27/2024 0:00,0,600,1500,500,Credit Card
433,140976,7/30/2024 0:00,0,2250,2000,500,Bank Transfer
434,927,6/22/2024 0:00,0,400,1000,500,Credit Card
435,140980,3/18/2025 0:00,21500,450,1500,500,Credit Card
436,931,2/23/2025 0:00,0,0,0,500,Cash
437,140982,8/1/2025 0:00,0,0,0,500,Bank Transfer
438,936,12/9/2024 0:00,0,0,0,500,Cash
439,937,2/23/2024 0:00,0,1800,1000,500,Credit Card
440,140992,6/2/2024 0:00,0,250,1000,500,Credit Card
